大类,指令,说明,,,,,,
网络/中兴交换机/Policy Based Routing 策略路由,SW1(config),route-map PBR permit 10,,,,,,
网络/中兴交换机/Policy Based Routing 策略路由,SW1(config-route-map),match ip address 100,,,,,,
网络/中兴交换机/Policy Based Routing 策略路由,SW1(config-route-map),set ip next-hop 192.168.1.2,,,,,,
网络/中兴交换机/Policy Based Routing 策略路由,SW1(config-if),ip policy route-map PBR  # 应用策略路由,,,,,,
网络/中兴交换机/IP SLA,SW1(config),ip sla 1,,,,,,
网络/中兴交换机/IP SLA,SW1(config-ip-sla),icmp-echo 192.168.1.2,,,,,,
网络/中兴交换机/IP SLA,SW1(config-ip-sla-echo),frequency 10,,,,,,
网络/中兴交换机/IP SLA,SW1(config),ip sla schedule 1 life forever start-time now,,,,,,
网络/中兴交换机/IP SLA,SW1,show ip sla statistics  # IP SLA 统计,,,,,,
网络/中兴交换机/Object Tracking 对象跟踪,SW1(config),track 1 ip sla 1 reachability  # 跟踪 IP SLA,,,,,,
网络/中兴交换机/Virtual Template 虚拟模板,SW1(config),interface Virtual-Template 1,,,,,,
网络/中兴交换机/Virtual Template 虚拟模板,SW1(config-if),ip unnumbered Loopback0  # 借用 IP,,,,,,
网络/中兴交换机/PPPoE PPP over Ethernet,SW1(config),bba-group pppoe global,,,,,,
网络/中兴交换机/PPPoE PPP over Ethernet,SW1(config-bba-group),virtual-template 1,,,,,,
网络/中兴交换机/PPPoE PPP over Ethernet,SW1(config-if),pppoe-server bind bba-group global,,,,,,
网络/中兴交换机/L2TP 二层隧道协议,SW1(config),vpdn enable  # 启用 VPDN,,,,,,
网络/中兴交换机/L2TP 二层隧道协议,SW1(config),vpdn-group 1,,,,,,
网络/中兴交换机/L2TP 二层隧道协议,SW1(config-vpdn),accept-dialin,,,,,,
网络/中兴交换机/L2TP 二层隧道协议,SW1(config-vpdn-accept),protocol l2tp,,,,,,
网络/中兴交换机/L2TP 二层隧道协议,SW1(config-vpdn-accept),virtual-template 1,,,,,,
网络/中兴交换机/AAA 认证授权计费,SW1(config),aaa new-model  # 启用 AAA,,,,,,
网络/中兴交换机/AAA 认证授权计费,SW1(config),aaa authentication login default local  # 本地认证,,,,,,
网络/中兴交换机/AAA 认证授权计费,SW1(config),aaa authorization exec default local  # 本地授权,,,,,,
网络/中兴交换机/AAA 认证授权计费,SW1(config),tacacs-server host 192.168.1.100  # TACACS+ 服务器,,,,,,
网络/中兴交换机/AAA 认证授权计费,SW1(config),aaa authentication login default group tacacs+ local  # TACACS+ 认证,,,,,,
网络/华为交换机/基础配置,<Huawei> system-view,进入系统配置模式,,,,,,
网络/华为交换机/基础配置,[Huawei],系统视图提示符,,,,,,
网络/华为交换机/基础配置,[Huawei] sysname SW1,设置设备名为 SW1,,,,,,
网络/华为交换机/基础配置,[SW1],新的提示符,,,,,,
网络/华为交换机/基础配置,<SW1> display version,显示版本信息,,,,,,
网络/华为交换机/基础配置,<SW1> display device,显示设备信息,,,,,,
网络/华为交换机/基础配置,<SW1> save,保存当前配置,,,,,,
网络/华为交换机/基础配置,<SW1> save config.cfg,保存到指定文件,,,,,,
网络/华为交换机/基础配置,<SW1> reboot,重启设备,,,,,,
网络/华为交换机/基础配置,<SW1> reset saved-configuration,清除保存的配置,,,,,,
网络/华为交换机/基础配置,[SW1] interface GigabitEthernet 0/0/1,进入千兆以太网接口,,,,,,
网络/华为交换机/基础配置,[SW1-GigabitEthernet0/0/1],接口视图提示符,,,,,,
网络/华为交换机/基础配置,[SW1] port-group 1,创建端口组 1,,,,,,
网络/华为交换机/基础配置,[SW1-port-group-1] group-member GigabitEthernet 0/0/1 to GigabitEthernet 0/0/10,添加成员,,,,,,
网络/华为交换机/基础配置,[SW1] quit,退回到上一级,,,,,,
网络/华为交换机/基础配置,<SW1> return,直接返回到用户视图,,,,,,
网络/华为交换机/VLAN 配置,[SW1] vlan 10,创建 VLAN 10,,,,,,
网络/华为交换机/VLAN 配置,[SW1-vlan10] name Sales,命名 VLAN,,,,,,
网络/华为交换机/VLAN 配置,[SW1-vlan10] description Sales Department"",描述,,,,,,
网络/华为交换机/VLAN 配置,[SW1] vlan batch 10 20 30,批量创建 VLAN,,,,,,
网络/华为交换机/VLAN 配置,[SW1] vlan batch 10 to 20,创建 VLAN 范围,,,,,,
网络/华为交换机/VLAN 配置,<SW1> display vlan,显示所有 VLAN,,,,,,
网络/华为交换机/VLAN 配置,<SW1> display vlan 10,显示 VLAN 10 详情,,,,,,
网络/华为交换机/VLAN 配置,[SW1] undo vlan 10,删除 VLAN 10,,,,,,
网络/华为交换机/VLAN 配置,[SW1] undo vlan batch 10 20,批量删除,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/1] port link-type access,设置为 access 模式,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/1] port default vlan 10,加入 VLAN 10,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/24] port link-type trunk,设置为 trunk 模式,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/24] port trunk allow-pass vlan 10 20 30,允许通过的 VLAN,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/24] port trunk pvid vlan 1,设置 PVID,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/3] port link-type hybrid,混合模式,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/3] port hybrid tagged vlan 10 20,带标签的 VLAN,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/3] port hybrid untagged vlan 30,不带标签的 VLAN,,,,,,
网络/华为交换机/VLAN 配置,[SW1-GigabitEthernet0/0/3] port hybrid pvid vlan 30,设置 PVID,,,,,,
网络/华为交换机/VLAN 配置,[SW1] interface Vlanif 10,创建 VLANIF 10,,,,,,
网络/华为交换机/VLAN 配置,[SW1-Vlanif10] ip address 192.168.10.1 255.255.255.0,配置 IP 地址,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp enable,启用生成树,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp mode stp,STP 模式,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp mode rstp,RSTP 模式,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp mode mstp,MSTP 模式,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp root primary,主根桥,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp root secondary,备份根桥,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp priority 0,设置优先级为 0（最高）,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,<SW1> display stp,显示 STP 信息,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,<SW1> display stp brief,简要显示 STP,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,<SW1> display stp interface GigabitEthernet 0/0/1,接口 STP 状态,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1] stp region-configuration,进入域配置,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-mst-region] region-name RG1,域名,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-mst-region] instance 1 vlan 10 20,实例映射 VLAN,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-mst-region] active region-configuration,激活配置,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-GigabitEthernet0/0/1] stp bpdu-protection,BPDU 保护,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-GigabitEthernet0/0/1] stp root-protection,根保护,,,,,,
网络/华为交换机/STP/RSTP/MSTP 配置,[SW1-GigabitEthernet0/0/1] stp loop-protection,环路保护,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1] interface Eth-Trunk 1,创建 Eth-Trunk 1,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-Eth-Trunk1] mode lacp-static,LACP 静态模式,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-Eth-Trunk1] mode manual load-balance,手工负载分担,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1] interface GigabitEthernet 0/0/1,添加成员接口,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-GigabitEthernet0/0/1] eth-trunk 1,加入 Eth-Trunk 1,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-Eth-Trunk1] trunkport GigabitEthernet 0/0/1 to 0/0/4,批量添加,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,<SW1> display eth-trunk 1,显示 Eth-Trunk 信息,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,<SW1> display eth-trunk brief,简要信息,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-Eth-Trunk1] lacp priority 100,LACP 优先级,,,,,,
网络/华为交换机/Eth-Trunk 链路聚合,[SW1-GigabitEthernet0/0/1] lacp priority 100,接口 LACP 优先级,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ip route-static 0.0.0.0 0.0.0.0 192.168.1.1,默认路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ip route-static 10.0.0.0 255.0.0.0 192.168.1.2,静态路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ip route-static 10.1.0.0 255.255.0.0 192.168.1.3 preference 100,设置优先级,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ip route-static 0.0.0.0 0.0.0.0 192.168.1.1 preference 60,浮动静态路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ip route-static 0.0.0.0 0.0.0.0 192.168.1.2 preference 100,备份路由,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display ip routing-table,显示路由表,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display ip routing-table protocol static,静态路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1] ospf 1 router-id 1.1.1.1,启动 OSPF,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1] area 0,区域 0,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1-area-0.0.0.0] network 192.168.1.0 0.0.0.255,宣告网段,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1-area-0.0.0.0] stub,Stub 区域,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1-area-0.0.0.0] nssa,NSSA 区域,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1-area-0.0.0.0] authentication-mode simple plain huawei,简单认证,,,,,,
网络/华为交换机/IP 路由配置,[SW1-ospf-1-area-0.0.0.0] authentication-mode md5 1 cipher huawei,MD5 认证,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display ospf peer,OSPF 邻居,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display ospf lsdb,OSPF LSDB,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display ospf routing,OSPF 路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1] bgp 65001,启动 BGP,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] router-id 1.1.1.1,Router ID,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] peer 192.168.1.2 as-number 65002,EBGP 邻居,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] peer 10.1.1.2 as-number 65001,IBGP 邻居,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] import-route direct,引入直连路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] import-route static,引入静态路由,,,,,,
网络/华为交换机/IP 路由配置,[SW1-bgp] import-route ospf 1,引入 OSPF 路由,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display bgp peer,BGP 邻居,,,,,,
网络/华为交换机/IP 路由配置,<SW1> display bgp routing-table,BGP 路由表,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1] acl 2000,创建基本 ACL,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-acl-basic-2000] rule permit source 192.168.1.0 0.0.0.255,允许网段,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-acl-basic-2000] rule deny source any,拒绝所有,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1] acl 3000,创建高级 ACL,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-acl-adv-3000] rule permit tcp source 192.168.1.0 0.0.0.255 destination any destination-port eq 80,允许 HTTP,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1] acl 4000,创建二层 ACL,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-acl-link-4000] rule permit source-mac 00e0-fc12-3456,基于 MAC,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-GigabitEthernet0/0/1] traffic-filter inbound acl 3000,入方向过滤,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1] time-range work-time 08:00 to 18:00 working-day,工作时间,,,,,,
网络/华为交换机/ACL 访问控制列表,[SW1-acl-adv-3000] rule permit ip source 192.168.1.0 0.0.0.255 time-range work-time,时间 ACL,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1] acl 2000,Easy IP（NAT Outbound）,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1-acl-basic-2000] rule permit source 192.168.1.0 0.0.0.255,执行 [SW1-acl-basic-2000] rule permit source 192.168.1.0 0.0.0.255 命令,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1-GigabitEthernet0/0/1] nat outbound 2000,出接口 NAT,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1-GigabitEthernet0/0/1] nat server protocol tcp global current-interface 80 inside 192.168.1.10 80,Web 服务器映射,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1] nat address-group 1 192.168.100.10 192.168.100.20,NAT 地址池,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1] acl 2000,执行 [SW1] acl 2000 命令,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1-acl-basic-2000] rule permit source 192.168.1.0 0.0.0.255,执行 [SW1-acl-basic-2000] rule permit source 192.168.1.0 0.0.0.255 命令,,,,,,
网络/华为交换机/NAT 网络地址转换,[SW1-GigabitEthernet0/0/1] nat outbound 2000 address-group 1,使用地址池,,,,,,
网络/华为交换机/NAT 网络地址转换,<SW1> display nat session all,NAT 会话,,,,,,
网络/华为交换机/NAT 网络地址转换,<SW1> display nat server,NAT Server 信息,,,,,,
网络/华为交换机/DHCP 配置,[SW1] dhcp enable,启用 DHCP,,,,,,
网络/华为交换机/DHCP 配置,[SW1] ip pool vlan10,创建地址池,,,,,,
网络/华为交换机/DHCP 配置,[SW1-ip-pool-vlan10] network 192.168.10.0 mask 255.255.255.0,网段,,,,,,
网络/华为交换机/DHCP 配置,[SW1-ip-pool-vlan10] gateway-list 192.168.10.1,网关,,,,,,
网络/华为交换机/DHCP 配置,[SW1-ip-pool-vlan10] dns-list 8.8.8.8 8.8.4.4,DNS,,,,,,
网络/华为交换机/DHCP 配置,[SW1-ip-pool-vlan10] excluded-ip-address 192.168.10.1 192.168.10.10,排除地址,,,,,,
网络/华为交换机/DHCP 配置,[SW1-Vlanif10] dhcp select global,选择全局地址池,,,,,,
网络/华为交换机/DHCP 配置,[SW1-Vlanif10] dhcp select interface,接口地址池模式,,,,,,
网络/华为交换机/DHCP 配置,[SW1] dhcp enable,DHCP Relay,,,,,,
网络/华为交换机/DHCP 配置,[SW1-Vlanif10] dhcp select relay,DHCP 中继,,,,,,
网络/华为交换机/DHCP 配置,[SW1-Vlanif10] dhcp relay server-ip 192.168.100.1,指定 DHCP 服务器,,,,,,
网络/华为交换机/DHCP 配置,<SW1> display ip pool name vlan10,地址池信息,,,,,,
网络/华为交换机/DHCP 配置,<SW1> display dhcp server statistics,DHCP 统计,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,[SW1-Vlanif10] vrrp vrid 1 virtual-ip 192.168.10.254,虚拟 IP,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,[SW1-Vlanif10] vrrp vrid 1 priority 120,优先级,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,[SW1-Vlanif10] vrrp vrid 1 preempt-mode timer delay 20,抢占延时,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,[SW1-Vlanif10] vrrp vrid 1 track interface GigabitEthernet 0/0/1 reduced 30,跟踪接口降优先级,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,<SW1> display vrrp,VRRP 状态,,,,,,
网络/华为交换机/VRRP 虚拟路由冗余,<SW1> display vrrp brief,简要信息,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] stelnet server enable,启用 Stelnet,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] ssh user admin authentication-type password,SSH 用户密码认证,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] ssh user admin service-type stelnet,服务类型,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] rsa local-key-pair create,生成 RSA 密钥对,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] user-interface vty 0 4,VTY 0-4,,,,,,
网络/华为交换机/SSH 远程管理,[SW1-ui-vty0-4] authentication-mode aaa,AAA 认证,,,,,,
网络/华为交换机/SSH 远程管理,[SW1-ui-vty0-4] protocol inbound ssh,只允许 SSH,,,,,,
网络/华为交换机/SSH 远程管理,[SW1] aaa,AAA 本地认证,,,,,,
网络/华为交换机/SSH 远程管理,[SW1-aaa] local-user admin password irreversible-cipher Admin@123,创建用户,,,,,,
网络/华为交换机/SSH 远程管理,[SW1-aaa] local-user admin privilege level 15,权限级别,,,,,,
网络/华为交换机/SSH 远程管理,[SW1-aaa] local-user admin service-type ssh,服务类型,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent,启用 SNMP,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent sys-info version v3,SNMPv3,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent community read cipher public,读团体名,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent community write cipher private,写团体名,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent usm-user v3 admin authentication-mode sha cipher Admin@123 privacy-mode aes128 cipher Admin@456,SNMPv3 用户,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent trap enable,启用 Trap,,,,,,
网络/华为交换机/SNMP 配置,[SW1] snmp-agent target-host trap address udp-domain 192.168.1.100 params securityname public v2c,Trap 目标,,,,,,
网络/华为交换机/LLDP 链路层发现,[SW1] lldp enable,全局启用 LLDP,,,,,,
网络/华为交换机/LLDP 链路层发现,[SW1-GigabitEthernet0/0/1] lldp enable,接口启用 LLDP,,,,,,
网络/华为交换机/LLDP 链路层发现,[SW1-GigabitEthernet0/0/1] lldp transmit enable,允许发送,,,,,,
网络/华为交换机/LLDP 链路层发现,[SW1-GigabitEthernet0/0/1] lldp receive enable,允许接收,,,,,,
网络/华为交换机/LLDP 链路层发现,<SW1> display lldp neighbor,LLDP 邻居,,,,,,
网络/华为交换机/LLDP 链路层发现,<SW1> display lldp neighbor brief,简要信息,,,,,,
网络/华为交换机/端口安全,[SW1-GigabitEthernet0/0/1] port-security enable,启用端口安全,,,,,,
网络/华为交换机/端口安全,[SW1-GigabitEthernet0/0/1] port-security max-mac-count 5,最大 MAC 数,,,,,,
网络/华为交换机/端口安全,[SW1-GigabitEthernet0/0/1] port-security protect-action restrict,违规动作：restrict/shutdown,,,,,,
